index,Title,Rating,Genre,Web,Date,Director,Writers,Actors
0,The Shawshank Redemption,9.3,Drama,https://www.imdb.com/title/tt0111161/,1994-10-14,Frank Darabont,"Stephen King, Frank Darabont","Tim Robbins, Morgan Freeman, Bob Gunton"
1,The Godfather,9.2,"Crime, Drama",https://www.imdb.com/title/tt0068646/,1972-03-24,Francis Ford Coppola,"Mario Puzo, Francis Ford Coppola","Marlon Brando, Al Pacino, James Caan"
2,The Dark Knight,9.0,"Action, Crime, Drama",https://www.imdb.com/title/tt0468569/,2008-07-18,Christopher Nolan,"Jonathan Nolan, Christopher Nolan, David S. Goyer","Christian Bale, Heath Ledger, Aaron Eckhart"
3,The Godfather Part II,9.0,"Crime, Drama",https://www.imdb.com/title/tt0071562/,1974-12-18,Francis Ford Coppola,"Francis Ford Coppola, Mario Puzo","Al Pacino, Robert De Niro, Robert Duvall"
4,12 Angry Men,9.0,"Crime, Drama",https://www.imdb.com/title/tt0050083/,1957-04-10,Sidney Lumet,Reginald Rose,"Henry Fonda, Lee J. Cobb, Martin Balsam"
